datetime,Latitude,Longitude,Depth,Magnitude
2011-01-01 09:56:58,-26.803,-63.136,576.8,7.0
2011-01-02 15:19:31,-4.458,101.428,21.6,5.7
2011-01-02 20:20:18,-38.355,-73.326,24.0,7.2
2011-01-03 16:43:29,-59.791,149.897,10.0,5.6
2011-01-05 00:57:32,31.545,142.177,21.4,5.6
2011-01-05 06:46:15,-22.26,171.631,112.2,6.1
2011-01-07 01:19:17,20.114,-45.617,10.0,5.5
2011-01-07 03:09:59,4.243,90.414,17.0,5.5
2011-01-08 04:10:57,-0.026,124.913,56.7,5.6
2011-01-09 10:03:44,-19.155,168.312,22.0,6.5
2011-01-09 13:00:14,-19.336,168.435,10.0,5.7
2011-01-09 14:54:43,-19.296,168.407,10.0,5.5
2011-01-09 17:21:52,-19.201,168.155,18.0,6.1
2011-01-09 18:21:07,-19.297,168.009,10.0,5.5
2011-01-10 02:11:09,-19.553,-176.032,228.9,5.6
2011-01-10 06:02:52,-35.594,-73.064,24.4,5.9
2011-01-10 10:24:21,23.083,143.166,86.6,5.6
2011-01-11 09:16:10,-13.265,167.208,221.8,5.5
2011-01-12 21:32:54,26.973,139.882,512.0,6.4
2011-01-13 12:04:56,-36.92,179.46,35.0,5.5
2011-01-13 16:16:42,-20.628,168.471,9.0,7.0
2011-01-13 16:43:08,-20.606,168.399,10.0,5.9
2011-01-15 06:09:10,-14.589,167.285,198.5,5.8
2011-01-15 11:23:53,2.491,96.28,17.0,5.7
2011-01-15 12:56:27,-5.65,130.252,198.8,5.7
2011-01-17 19:20:57,-5.03,102.647,36.0,6.0
2011-01-18 11:33:45,2.632,96.404,21.0,5.9
2011-01-18 20:23:23,28.777,63.951,68.0,7.2
2011-01-22 07:38:57,2.903,95.516,24.0,5.6
2011-01-23 19:15:43,-20.335,-176.292,236.1,5.9
2011-01-24 01:02:02,-19.204,-173.51,16.2,5.7
2011-01-24 02:45:32,38.413,72.791,110.0,6.0
2011-01-26 15:42:30,2.205,96.829,23.0,6.1
2011-01-26 17:03:30,-11.013,166.303,148.5,5.7
2011-01-27 00:59:38,-15.562,-173.117,16.0,5.6
2011-01-27 04:00:37,-11.656,166.356,82.9,5.5
2011-01-27 08:38:28,28.195,59.015,10.0,6.2
2011-01-27 15:02:46,-38.502,175.996,158.1,5.6
2011-01-29 06:55:28,70.931,-6.657,15.0,6.2
2011-01-29 11:58:18,-62.964,-164.221,10.0,5.5
2011-01-29 12:39:00,21.613,142.956,321.2,5.5
2011-01-31 06:03:27,-22.009,-175.622,76.0,6.0
2011-02-01 13:39:47,10.622,94.109,21.8,5.6
2011-02-02 00:38:18,54.974,-160.465,35.0,5.9
2011-02-03 20:25:16,-15.511,-173.068,10.0,5.9
2011-02-04 13:53:46,24.618,94.68,85.0,6.2
2011-02-04 14:20:55,-14.188,166.459,10.0,5.9
2011-02-05 16:11:40,-37.621,-73.448,28.9,5.8
2011-02-06 11:21:16,-8.283,104.067,7.0,5.6
2011-02-07 19:53:43,-7.154,155.184,415.0,6.4
2011-02-10 14:39:28,4.195,122.974,523.2,6.5
2011-02-10 14:41:59,4.077,123.039,525.0,6.6
2011-02-11 20:05:31,-36.422,-72.96,26.0,6.9
2011-02-11 23:39:21,-37.196,-73.198,15.0,5.9
2011-02-12 01:17:01,-37.027,-72.954,16.0,6.1
2011-02-12 02:53:15,0.079,-17.018,10.0,5.7
2011-02-12 03:03:04,-31.241,-177.809,10.0,5.6
2011-02-12 11:55:25,1.993,126.833,35.0,5.6
2011-02-12 17:57:56,-20.879,-175.672,85.0,6.1
2011-02-13 08:51:34,-36.565,-73.178,20.7,5.8
2011-02-13 10:35:07,-36.649,-73.176,17.0,6.0
2011-02-13 13:44:36,-36.557,-73.275,18.9,5.5
2011-02-14 03:40:10,-35.38,-72.834,21.0,6.7
2011-02-15 13:33:53,-2.497,121.483,16.2,6.1
2011-02-15 19:01:03,38.321,143.162,26.2,5.5
2011-02-17 20:51:05,-14.165,166.471,22.3,5.6
2011-02-18 04:23:19,-4.614,153.157,57.7,5.5
2011-02-20 21:43:24,55.918,162.117,33.0,6.1
2011-02-21 06:58:36,-27.149,-64.688,12.7,5.6
2011-02-21 10:57:52,-26.142,178.394,558.1,6.5
2011-02-21 12:26:32,-10.281,161.415,69.8,5.5
2011-02-21 23:51:42,-43.583,172.68,5.9,6.1
2011-02-22 00:04:19,-43.59,172.65,5.9,5.5
2011-02-22 01:50:30,-43.598,172.621,6.6,5.6
2011-02-22 14:09:51,22.11,143.842,112.8,5.5
2011-02-23 03:01:36,12.388,-87.815,41.0,5.7
2011-02-24 03:01:17,-17.811,-174.434,122.5,5.6
2011-02-25 13:07:27,17.843,-95.007,122.7,5.9
2011-02-26 02:10:24,-10.622,164.899,49.2,5.9
2011-02-28 01:29:25,-37.36,-73.695,31.5,5.8
2011-02-28 07:49:07,34.98,25.42,53.0,5.7
2011-02-28 11:04:16,-59.233,-17.012,10.0,5.6
2011-02-28 23:42:17,-29.474,-112.061,9.8,5.5
2011-03-01 00:53:46,-29.701,-111.981,10.0,6.0
2011-03-02 18:50:49,8.596,-76.855,44.2,5.7
2011-03-03 15:12:01,9.457,125.935,49.7,5.5
2011-03-04 04:07:49,-8.933,157.236,10.0,5.6
2011-03-06 12:32:00,-18.021,-69.362,118.0,6.3
2011-03-06 14:32:36,-56.422,-27.063,87.7,6.5
2011-03-07 00:09:36,-10.349,160.766,22.0,6.3
2011-03-09 02:45:20,38.435,142.842,32.0,7.3
2011-03-09 02:57:17,38.361,142.91,23.2,5.7
2011-03-09 02:58:14,38.246,143.102,35.0,5.7
2011-03-09 04:37:05,38.665,142.991,37.8,5.6
2011-03-09 18:16:16,38.315,142.434,22.0,6.0
2011-03-09 18:44:38,38.503,143.166,23.8,5.9
2011-03-09 21:22:18,38.345,142.648,23.0,6.0
2011-03-09 21:24:02,38.296,142.808,15.0,6.5
2011-03-09 21:24:50,-5.985,149.777,29.0,6.4
2011-03-10 04:58:14,24.727,97.957,10.0,5.5
2011-03-10 08:08:21,38.603,143.27,17.4,5.6
2011-03-10 17:08:37,-6.873,116.72,510.6,6.5
2011-03-11 00:14:48,-53.21,-117.837,10.0,5.7
2011-03-11 05:46:24,38.297,142.373,29.0,9.1
2011-03-11 05:54:32,37.712,141.184,32.3,6.3
2011-03-11 05:55:45,37.359,143.351,35.0,6.4
2011-03-11 05:58:07,37.623,142.155,50.7,6.3
2011-03-11 05:59:32,37.054,141.763,8.4,5.9
2011-03-11 06:00:39,38.095,142.492,40.6,6.2
2011-03-11 06:03:55,36.469,141.84,22.6,5.9
2011-03-11 06:05:02,36.375,141.777,34.2,5.8
2011-03-11 06:06:13,39.003,142.29,42.7,6.3
2011-03-11 06:07:21,36.419,141.876,32.3,6.4
2011-03-11 06:08:30,38.969,143.37,2.8,6.7
2011-03-11 06:11:16,36.109,141.696,26.6,5.9
2011-03-11 06:12:36,37.788,144.233,25.4,6.2
2011-03-11 06:13:01,37.211,141.601,40.1,6.2
2011-03-11 06:15:23,37.93,143.802,35.0,6.3
2011-03-11 06:15:40,36.281,141.111,42.6,7.9
2011-03-11 06:18:50,36.023,142.269,16.0,6.6
2011-03-11 06:20:04,36.004,142.067,49.3,6.5
2011-03-11 06:21:33,38.29,142.813,51.7,6.2
2011-03-11 06:23:09,39.03,142.284,56.3,6.2
2011-03-11 06:25:50,38.058,144.59,18.6,7.7
2011-03-11 06:29:16,37.812,144.233,40.6,6.1
2011-03-11 06:33:06,36.625,141.867,39.1,5.9
2011-03-11 06:35:21,35.806,141.1,10.3,5.8
2011-03-11 06:37:06,37.465,142.404,52.4,5.6
2011-03-11 06:38:11,36.094,141.665,47.2,5.8
2011-03-11 06:39:39,37.04,142.463,40.1,5.5
2011-03-11 06:41:01,39.599,141.576,35.0,5.8
2011-03-11 06:46:31,37.956,143.248,30.6,5.9
2011-03-11 06:48:46,37.961,142.724,11.7,6.2
2011-03-11 06:49:17,37.337,144.237,47.3,6.1
2011-03-11 06:49:58,40.668,141.605,44.9,5.8
2011-03-11 06:52:29,38.061,143.016,33.6,5.5
2011-03-11 06:55:34,37.562,142.855,39.8,5.9
2011-03-11 06:57:17,35.712,140.875,47.5,6.0
2011-03-11 06:59:00,37.357,144.725,35.9,6.3
2011-03-11 07:01:12,36.628,143.755,36.1,5.7
2011-03-11 07:02:57,39.693,142.529,41.6,5.8
2011-03-11 07:03:00,37.924,142.802,19.1,5.6
2011-03-11 07:04:16,38.964,142.398,23.7,5.8
2011-03-11 07:05:21,38.442,143.6,15.4,5.7
2011-03-11 07:06:46,37.778,142.98,21.5,5.6
2011-03-11 07:09:12,36.714,141.874,28.2,5.7
2011-03-11 07:09:58,36.718,141.856,35.0,5.6
2011-03-11 07:11:00,37.879,142.681,33.7,5.8
2011-03-11 07:13:48,36.103,142.358,35.0,5.9
2011-03-11 07:14:59,36.586,141.823,24.7,6.3
2011-03-11 07:17:43,37.006,142.406,6.3,5.8
2011-03-11 07:23:17,37.454,142.097,19.6,5.9
2011-03-11 07:25:36,37.934,144.529,39.5,6.1
2011-03-11 07:28:12,36.823,141.824,28.4,6.1
2011-03-11 07:29:02,39.031,142.349,45.4,6.3
2011-03-11 07:30:18,37.442,141.195,49.2,6.0
2011-03-11 07:33:34,36.323,142.71,35.0,5.7
2011-03-11 07:35:52,36.943,142.309,21.9,5.7
2011-03-11 07:38:28,39.204,142.793,38.5,5.8
2011-03-11 07:42:56,36.403,141.892,35.0,5.7
2011-03-11 07:44:28,36.195,141.813,13.8,5.8
2011-03-11 07:54:45,37.743,141.573,50.8,5.7
2011-03-11 07:56:15,37.106,142.226,38.0,5.6
2011-03-11 07:59:49,37.012,142.78,0.7,5.7
2011-03-11 08:01:57,36.936,142.7,19.3,5.9
2011-03-11 08:04:59,37.593,142.208,48.9,5.7
2011-03-11 08:10:29,36.287,140.852,19.5,5.6
2011-03-11 08:12:07,36.569,141.486,39.6,6.2
2011-03-11 08:15:42,37.047,144.541,41.0,6.1
2011-03-11 08:19:24,36.166,141.562,6.8,6.5
2011-03-11 08:26:37,37.367,143.017,17.0,6.1
2011-03-11 08:27:52,38.017,142.657,42.8,6.0
2011-03-11 08:31:09,37.469,141.176,37.3,6.0
2011-03-11 08:33:01,39.14,142.967,27.6,6.0
2011-03-11 08:35:22,36.033,140.984,19.7,5.6
2011-03-11 08:39:13,37.64,142.771,46.2,5.5
2011-03-11 08:40:56,37.447,140.984,39.5,5.9
2011-03-11 08:44:00,36.122,140.966,47.3,5.6
2011-03-11 08:46:46,37.416,142.451,25.8,5.6
2011-03-11 08:52:23,36.77,141.924,17.0,5.5
2011-03-11 09:09:15,37.683,143.311,39.2,5.5
2011-03-11 09:37:05,35.912,141.601,5.8,5.5
2011-03-11 10:10:34,39.185,142.76,26.5,6.0
2011-03-11 10:22:03,36.665,142.521,10.0,5.7
2011-03-11 10:28:43,39.397,143.592,20.0,5.9
2011-03-11 10:45:45,38.417,143.752,33.3,5.6
2011-03-11 11:00:52,37.737,141.496,41.8,5.6
2011-03-11 11:10:58,35.535,141.842,35.0,5.5
2011-03-11 11:13:13,36.38,141.778,25.9,5.5
2011-03-11 11:16:50,36.628,141.809,36.6,5.5
2011-03-11 11:21:03,35.684,140.933,35.0,5.7
